,first_top_up_date,second_top_up_date,segment,survival_in_days,status
5603,2022-03-11,,regular,20.0,False
6073,2022-03-06,2022-03-28,regular,22.0,True
8625,2022-01-13,2022-01-23,fast,10.0,True
3868,2022-01-04,,regular,86.0,False
1186,2022-03-01,,regular,30.0,False
7196,2022-01-10,2022-01-29,fast,19.0,True
5784,2022-01-15,2022-02-09,regular,25.0,True
3320,2022-02-09,2022-03-03,regular,22.0,True
7018,2022-03-14,,fast,17.0,False
1891,2022-03-26,,regular,5.0,False
113,2022-01-21,2022-02-18,regular,28.0,True
71,2022-02-23,,regular,36.0,False
8816,2022-03-09,,fast,22.0,False
7554,2022-01-01,2022-01-29,fast,28.0,True
3616,2022-03-14,,regular,17.0,False
1111,2022-01-02,2022-01-24,regular,22.0,True
7493,2022-01-04,2022-01-19,fast,15.0,True
1110,2022-01-14,,regular,76.0,False
4169,2022-03-17,2022-03-28,regular,11.0,True
7522,2022-03-10,2022-03-29,fast,19.0,True
7435,2022-02-11,2022-03-06,fast,23.0,True
1622,2022-01-28,2022-02-22,regular,25.0,True
4936,2022-03-21,,regular,10.0,False
7998,2022-01-25,2022-02-05,fast,11.0,True
457,2022-01-10,,regular,80.0,False
277,2022-03-09,,regular,22.0,False
4639,2022-03-02,,regular,29.0,False
8218,2022-01-20,,fast,70.0,False
2295,2022-01-22,2022-02-18,regular,27.0,True
2558,2022-03-25,,regular,6.0,False
7304,2022-03-24,,fast,7.0,False
8651,2022-03-01,,fast,30.0,False
3239,2022-01-01,2022-01-28,regular,27.0,True
8417,2022-03-06,,fast,25.0,False
1072,2022-01-15,2022-01-25,regular,10.0,True
6399,2022-02-15,2022-03-18,regular,31.0,True
3227,2022-01-30,2022-02-19,regular,20.0,True
9959,2022-03-25,,chunk,6.0,False
5035,2022-01-19,2022-02-17,regular,29.0,True
652,2022-03-02,2022-03-25,regular,23.0,True
6816,2022-01-01,2022-01-28,regular,27.0,True
6341,2022-01-18,,regular,72.0,False
5706,2022-03-04,,regular,27.0,False
4131,2022-02-07,2022-02-15,regular,8.0,True
4898,2022-01-27,,regular,63.0,False
8332,2022-02-02,,fast,57.0,False
5137,2022-01-13,,regular,77.0,False
1205,2022-03-25,,regular,6.0,False
5834,2022-03-07,,regular,24.0,False
850,2022-01-21,,regular,69.0,False
8335,2022-03-12,2022-03-27,fast,15.0,True
1135,2022-01-24,2022-03-01,regular,36.0,True
7879,2022-03-13,,fast,18.0,False
5898,2022-03-17,,regular,14.0,False
5877,2022-02-21,,regular,38.0,False
8311,2022-01-17,,fast,73.0,False
2585,2022-01-31,2022-03-05,regular,33.0,True
3744,2022-02-16,2022-03-08,regular,20.0,True
2631,2022-03-21,,regular,10.0,False
9304,2022-03-05,,chunk,26.0,False
246,2022-01-08,2022-02-06,regular,29.0,True
4749,2022-02-15,2022-03-08,regular,21.0,True
2801,2022-03-14,,regular,17.0,False
3515,2022-01-28,2022-02-22,regular,25.0,True
8005,2022-02-14,2022-03-01,fast,15.0,True
187,2022-02-15,2022-03-22,regular,35.0,True
8102,2022-01-02,2022-01-21,fast,19.0,True
7487,2022-01-11,,fast,79.0,False
5349,2022-03-15,,regular,16.0,False
681,2022-01-22,2022-02-11,regular,20.0,True
1771,2022-03-15,,regular,16.0,False
9146,2022-03-07,,chunk,24.0,False
616,2022-03-26,,regular,5.0,False
9738,2022-03-02,,chunk,29.0,False
3657,2022-01-01,2022-02-05,regular,35.0,True
6000,2022-02-16,2022-03-19,regular,31.0,True
77,2022-01-23,2022-03-01,regular,37.0,True
9707,2022-03-08,,chunk,23.0,False
6260,2022-01-17,,regular,73.0,False
9092,2022-02-01,2022-03-23,chunk,50.0,True
9729,2022-01-13,2022-03-20,chunk,66.0,True
5654,2022-02-21,2022-03-21,regular,28.0,True
7419,2022-03-23,,fast,8.0,False
5891,2022-03-29,,regular,2.0,False
4587,2022-01-11,,regular,79.0,False
2071,2022-01-29,,regular,61.0,False
9344,2022-01-27,,chunk,63.0,False
5533,2022-03-06,,regular,25.0,False
5661,2022-02-14,2022-03-18,regular,32.0,True
1334,2022-01-01,2022-01-25,regular,24.0,True
6966,2022-03-13,,regular,18.0,False
5766,2022-01-11,2022-02-04,regular,24.0,True
7807,2022-02-24,2022-03-16,fast,20.0,True
3883,2022-01-12,,regular,78.0,False
8579,2022-03-28,,fast,3.0,False
9741,2022-01-22,2022-03-24,chunk,61.0,True
8680,2022-02-27,,fast,32.0,False
594,2022-01-30,2022-02-26,regular,27.0,True
4715,2022-02-19,2022-03-21,regular,30.0,True
9832,2022-03-29,,chunk,2.0,False
4786,2022-03-05,,regular,26.0,False
5130,2022-02-28,,regular,31.0,False
9382,2022-02-05,,chunk,54.0,False
7160,2022-03-11,,fast,20.0,False
5948,2022-02-02,,regular,57.0,False
883,2022-03-09,,regular,22.0,False
4014,2022-01-05,2022-02-05,regular,31.0,True
1399,2022-01-11,2022-01-29,regular,18.0,True
9104,2022-01-19,2022-03-14,chunk,54.0,True
4431,2022-02-03,2022-02-27,regular,24.0,True
1866,2022-02-23,2022-03-20,regular,25.0,True
2248,2022-02-12,2022-03-05,regular,21.0,True
7001,2022-02-01,2022-02-10,fast,9.0,True
8033,2022-02-02,2022-02-22,fast,20.0,True
2373,2022-02-07,,regular,52.0,False
9199,2022-03-18,,chunk,13.0,False
2355,2022-01-24,2022-02-22,regular,29.0,True
3200,2022-01-17,2022-02-06,regular,20.0,True
5569,2022-03-29,,regular,2.0,False
8703,2022-01-24,,fast,66.0,False
1422,2022-01-13,,regular,77.0,False
5369,2022-01-08,2022-02-05,regular,28.0,True
9431,2022-03-08,,chunk,23.0,False
8555,2022-02-24,,fast,35.0,False
2185,2022-02-06,2022-03-05,regular,27.0,True
3127,2022-03-24,,regular,7.0,False
8009,2022-01-31,,fast,59.0,False
5958,2022-03-30,,regular,1.0,False
3377,2022-02-24,,regular,35.0,False
5047,2022-02-25,,regular,34.0,False
9935,2022-03-10,,chunk,21.0,False
4210,2022-02-18,,regular,41.0,False
1456,2022-03-20,,regular,11.0,False
3421,2022-01-04,2022-02-01,regular,28.0,True
744,2022-02-18,2022-03-09,regular,19.0,True
5343,2022-01-02,,regular,88.0,False
8608,2022-03-24,,fast,7.0,False
7342,2022-03-24,,fast,7.0,False
9929,2022-02-05,2022-03-29,chunk,52.0,True
6387,2022-02-15,2022-03-23,regular,36.0,True
5448,2022-03-26,,regular,5.0,False
5726,2022-01-19,2022-02-21,regular,33.0,True
6604,2022-01-12,,regular,78.0,False
9191,2022-02-08,,chunk,51.0,False
7425,2022-01-15,2022-02-04,fast,20.0,True
9426,2022-01-19,2022-03-22,chunk,62.0,True
3990,2022-03-06,,regular,25.0,False
8211,2022-03-30,,fast,1.0,False
8010,2022-01-08,2022-01-22,fast,14.0,True
7047,2022-01-30,2022-02-14,fast,15.0,True
961,2022-02-23,2022-03-29,regular,34.0,True
9945,2022-01-17,,chunk,73.0,False
3071,2022-02-14,2022-03-17,regular,31.0,True
4440,2022-03-07,,regular,24.0,False
6930,2022-03-22,,regular,9.0,False
161,2022-01-10,2022-02-09,regular,30.0,True
756,2022-02-10,,regular,49.0,False
7643,2022-02-01,,fast,58.0,False
8753,2022-03-13,,fast,18.0,False
6696,2022-02-03,2022-03-07,regular,32.0,True
4472,2022-02-05,2022-03-07,regular,30.0,True
9237,2022-01-16,2022-03-14,chunk,57.0,True
16,2022-03-05,,regular,26.0,False
3368,2022-01-09,2022-02-02,regular,24.0,True
1133,2022-03-29,,regular,2.0,False
3051,2022-03-20,,regular,11.0,False
2998,2022-02-07,,regular,52.0,False
5890,2022-03-22,,regular,9.0,False
3070,2022-02-11,,regular,48.0,False
6005,2022-01-08,2022-01-27,regular,19.0,True
3843,2022-02-01,2022-02-20,regular,19.0,True
7148,2022-01-06,2022-02-03,fast,28.0,True
6074,2022-02-25,,regular,34.0,False
8719,2022-03-21,,fast,10.0,False
3319,2022-03-28,,regular,3.0,False
4193,2022-03-20,,regular,11.0,False
4449,2022-03-04,,regular,27.0,False
3665,2022-02-24,2022-03-20,regular,24.0,True
811,2022-03-01,2022-03-30,regular,29.0,True
5696,2022-01-13,2022-02-14,regular,32.0,True
5997,2022-02-28,,regular,31.0,False
7995,2022-02-26,2022-03-17,fast,19.0,True
3822,2022-03-06,2022-03-25,regular,19.0,True
361,2022-03-11,,regular,20.0,False
5114,2022-02-11,2022-03-08,regular,25.0,True
8352,2022-02-22,2022-03-08,fast,14.0,True
4794,2022-01-04,2022-02-16,regular,43.0,True
1129,2022-03-24,,regular,7.0,False
4938,2022-03-17,,regular,14.0,False
1320,2022-01-03,2022-01-29,regular,26.0,True
12,2022-02-24,,regular,35.0,False
6004,2022-01-21,2022-02-22,regular,32.0,True
2776,2022-01-10,2022-02-18,regular,39.0,True
7642,2022-01-29,2022-03-04,fast,34.0,True
3355,2022-03-20,,regular,11.0,False
6768,2022-03-17,,regular,14.0,False
5527,2022-03-17,,regular,14.0,False
5748,2022-02-02,2022-02-25,regular,23.0,True
2988,2022-02-18,2022-03-29,regular,39.0,True
7337,2022-01-25,2022-02-14,fast,20.0,True
9260,2022-01-21,,chunk,69.0,False
7999,2022-02-14,2022-03-20,fast,34.0,True
6290,2022-01-22,,regular,68.0,False
7637,2022-01-18,2022-02-03,fast,16.0,True
2624,2022-02-09,,regular,50.0,False
2350,2022-01-26,2022-02-23,regular,28.0,True
3541,2022-03-23,,regular,8.0,False
8475,2022-02-19,,fast,40.0,False
7158,2022-01-21,2022-02-12,fast,22.0,True
6355,2022-01-21,,regular,69.0,False
4035,2022-02-12,2022-02-27,regular,15.0,True
5883,2022-03-25,,regular,6.0,False
9585,2022-02-24,,chunk,35.0,False
5381,2022-02-22,,regular,37.0,False
428,2022-02-19,,regular,40.0,False
2446,2022-03-26,,regular,5.0,False
2823,2022-03-10,,regular,21.0,False
1496,2022-02-01,2022-03-05,regular,32.0,True
2325,2022-02-06,2022-03-11,regular,33.0,True
7537,2022-01-05,2022-01-24,fast,19.0,True
8978,2022-01-22,2022-02-23,fast,32.0,True
5562,2022-03-17,,regular,14.0,False
6280,2022-02-15,,regular,44.0,False
5555,2022-01-15,2022-02-09,regular,25.0,True
774,2022-02-27,,regular,32.0,False
2413,2022-03-07,,regular,24.0,False
4676,2022-03-08,,regular,23.0,False
5495,2022-01-14,2022-02-15,regular,32.0,True
123,2022-02-05,2022-03-10,regular,33.0,True
5151,2022-02-06,2022-02-23,regular,17.0,True
9308,2022-02-14,,chunk,45.0,False
9341,2022-01-30,2022-03-25,chunk,54.0,True
1542,2022-01-10,2022-02-15,regular,36.0,True
3640,2022-02-18,2022-03-28,regular,38.0,True
3363,2022-02-23,2022-03-27,regular,32.0,True
6679,2022-02-18,2022-03-22,regular,32.0,True
4847,2022-01-06,2022-02-11,regular,36.0,True
484,2022-01-20,2022-02-18,regular,29.0,True
8912,2022-01-09,2022-02-04,fast,26.0,True
5541,2022-01-06,2022-01-25,regular,19.0,True
2708,2022-01-15,,regular,75.0,False
4624,2022-01-08,2022-02-19,regular,42.0,True
5843,2022-02-02,,regular,57.0,False
754,2022-02-01,2022-03-12,regular,39.0,True
4543,2022-02-16,2022-03-14,regular,26.0,True
7600,2022-03-24,,fast,7.0,False
5941,2022-02-23,2022-03-25,regular,30.0,True
9589,2022-03-12,,chunk,19.0,False
1293,2022-03-05,,regular,26.0,False
1822,2022-02-25,,regular,34.0,False
214,2022-03-20,,regular,11.0,False
4817,2022-02-28,2022-03-22,regular,22.0,True
8607,2022-01-28,,fast,62.0,False
1025,2022-03-21,,regular,10.0,False
8652,2022-01-04,2022-01-18,fast,14.0,True
9277,2022-01-28,2022-03-24,chunk,55.0,True
7464,2022-03-01,2022-03-17,fast,16.0,True
4003,2022-01-25,2022-02-27,regular,33.0,True
6420,2022-03-19,,regular,12.0,False
1246,2022-02-17,2022-03-06,regular,17.0,True
3685,2022-02-03,2022-03-15,regular,40.0,True
5814,2022-01-09,,regular,81.0,False
7485,2022-01-12,2022-02-01,fast,20.0,True
4976,2022-02-03,2022-02-26,regular,23.0,True
2635,2022-03-23,,regular,8.0,False
3032,2022-03-27,,regular,4.0,False
2705,2022-01-19,2022-02-08,regular,20.0,True
8759,2022-01-28,2022-02-10,fast,13.0,True
2085,2022-02-20,2022-03-25,regular,33.0,True
5922,2022-02-04,,regular,55.0,False
937,2022-01-25,2022-03-04,regular,38.0,True
5143,2022-02-16,,regular,43.0,False
7495,2022-03-07,,fast,24.0,False
1666,2022-02-23,2022-03-24,regular,29.0,True
2577,2022-01-29,2022-03-07,regular,37.0,True
8174,2022-03-26,,fast,5.0,False
7764,2022-01-06,2022-02-20,fast,45.0,True
778,2022-03-05,2022-03-28,regular,23.0,True
812,2022-03-30,,regular,1.0,False
4115,2022-02-28,2022-03-20,regular,20.0,True
8130,2022-02-04,2022-03-15,fast,39.0,True
2677,2022-01-17,2022-02-19,regular,33.0,True
2170,2022-02-01,2022-03-08,regular,35.0,True
458,2022-03-06,2022-03-31,regular,25.0,True
1766,2022-01-27,2022-03-01,regular,33.0,True
2363,2022-01-06,2022-02-11,regular,36.0,True
2735,2022-01-02,2022-02-02,regular,31.0,True
1704,2022-01-29,2022-02-20,regular,22.0,True
3717,2022-02-13,2022-03-12,regular,27.0,True
5043,2022-03-06,2022-03-29,regular,23.0,True
5131,2022-02-05,,regular,54.0,False
2420,2022-02-05,2022-03-01,regular,24.0,True
7817,2022-02-16,2022-03-04,fast,16.0,True
3620,2022-01-23,2022-02-23,regular,31.0,True
9546,2022-01-09,,chunk,81.0,False
8042,2022-01-11,2022-02-03,fast,23.0,True
1843,2022-02-28,2022-03-26,regular,26.0,True
1361,2022-02-07,,regular,52.0,False
4721,2022-02-24,,regular,35.0,False
903,2022-01-09,2022-01-24,regular,15.0,True
2666,2022-02-17,2022-03-13,regular,24.0,True
3658,2022-03-19,,regular,12.0,False
9111,2022-01-17,,chunk,73.0,False
8229,2022-01-15,2022-01-25,fast,10.0,True
3527,2022-01-16,2022-02-23,regular,38.0,True
9658,2022-01-12,,chunk,78.0,False
3831,2022-01-03,,regular,87.0,False
254,2022-03-30,,regular,1.0,False
590,2022-01-07,2022-02-07,regular,31.0,True
8872,2022-01-24,2022-02-07,fast,14.0,True
3639,2022-02-20,,regular,39.0,False
9649,2022-02-24,,chunk,35.0,False
8454,2022-03-15,2022-03-28,fast,13.0,True
8240,2022-03-06,,fast,25.0,False
7957,2022-03-18,2022-03-24,fast,6.0,True
5026,2022-02-19,2022-03-17,regular,26.0,True
1476,2022-02-01,2022-02-27,regular,26.0,True
3366,2022-03-17,,regular,14.0,False
8929,2022-01-29,2022-03-01,fast,31.0,True
6336,2022-01-11,2022-02-11,regular,31.0,True
4236,2022-03-18,,regular,13.0,False
3841,2022-02-27,,regular,32.0,False
6442,2022-02-27,,regular,32.0,False
3402,2022-02-19,2022-03-20,regular,29.0,True
2035,2022-03-01,,regular,30.0,False
2252,2022-03-18,,regular,13.0,False
8257,2022-02-16,2022-03-07,fast,19.0,True
1192,2022-03-18,,regular,13.0,False
9783,2022-03-12,,chunk,19.0,False
1304,2022-02-27,,regular,32.0,False
1652,2022-02-13,2022-03-20,regular,35.0,True
9699,2022-03-21,,chunk,10.0,False
5247,2022-01-07,,regular,83.0,False
9756,2022-01-08,2022-03-08,chunk,59.0,True
9459,2022-03-29,,chunk,2.0,False
6183,2022-03-30,,regular,1.0,False
4762,2022-02-17,2022-03-22,regular,33.0,True
4385,2022-03-02,,regular,29.0,False
5868,2022-03-29,,regular,2.0,False
7027,2022-03-30,,fast,1.0,False
949,2022-02-01,2022-03-10,regular,37.0,True
4781,2022-02-08,2022-03-14,regular,34.0,True
5539,2022-01-14,2022-02-14,regular,31.0,True
6608,2022-02-19,,regular,40.0,False
3999,2022-01-17,2022-02-16,regular,30.0,True
9807,2022-01-24,2022-03-16,chunk,51.0,True
829,2022-02-06,2022-03-04,regular,26.0,True
5095,2022-01-24,,regular,66.0,False
2389,2022-03-24,,regular,7.0,False
5648,2022-01-02,2022-01-24,regular,22.0,True
1836,2022-01-28,2022-03-13,regular,44.0,True
9747,2022-01-31,,chunk,59.0,False
8747,2022-03-13,,fast,18.0,False
9212,2022-01-22,,chunk,68.0,False
1506,2022-02-11,2022-03-14,regular,31.0,True
1215,2022-01-21,,regular,69.0,False
2553,2022-03-28,,regular,3.0,False
272,2022-03-23,,regular,8.0,False
6208,2022-03-02,2022-03-30,regular,28.0,True
922,2022-03-11,,regular,20.0,False
3613,2022-03-28,,regular,3.0,False
6324,2022-02-01,,regular,58.0,False
5363,2022-02-20,,regular,39.0,False
7009,2022-01-01,2022-01-16,fast,15.0,True
9557,2022-01-07,2022-03-06,chunk,58.0,True
1873,2022-03-29,,regular,2.0,False
6851,2022-02-12,2022-03-07,regular,23.0,True
6072,2022-03-21,,regular,10.0,False
5102,2022-02-04,2022-03-12,regular,36.0,True
2990,2022-03-23,,regular,8.0,False
9536,2022-01-09,2022-03-10,chunk,60.0,True
7908,2022-01-23,2022-02-02,fast,10.0,True
8107,2022-01-28,2022-03-04,fast,35.0,True
8059,2022-02-26,2022-02-28,fast,2.0,True
7276,2022-03-21,2022-03-25,fast,4.0,True
3067,2022-03-04,,regular,27.0,False
3701,2022-01-18,2022-02-03,regular,16.0,True
9598,2022-01-16,2022-03-19,chunk,62.0,True
3437,2022-01-03,,regular,87.0,False
4731,2022-03-18,,regular,13.0,False
2073,2022-01-27,,regular,63.0,False
9612,2022-02-18,,chunk,41.0,False
7476,2022-03-26,,fast,5.0,False
9581,2022-02-27,,chunk,32.0,False
1107,2022-01-29,2022-02-24,regular,26.0,True
679,2022-02-03,2022-02-23,regular,20.0,True
9409,2022-03-08,,chunk,23.0,False
987,2022-01-06,,regular,84.0,False
4300,2022-01-21,2022-02-14,regular,24.0,True
90,2022-01-02,,regular,88.0,False
548,2022-02-25,2022-03-26,regular,29.0,True
4897,2022-03-22,,regular,9.0,False
4916,2022-02-28,2022-03-30,regular,30.0,True
6033,2022-01-29,2022-02-27,regular,29.0,True
1413,2022-03-15,,regular,16.0,False
7494,2022-01-16,2022-02-01,fast,16.0,True
8188,2022-03-21,2022-03-26,fast,5.0,True
7108,2022-03-25,,fast,6.0,False
1391,2022-01-28,2022-02-25,regular,28.0,True
2647,2022-03-28,,regular,3.0,False
3111,2022-03-23,,regular,8.0,False
2345,2022-02-18,,regular,41.0,False
3605,2022-02-28,,regular,31.0,False
6177,2022-01-27,2022-02-20,regular,24.0,True
635,2022-03-16,,regular,15.0,False
5298,2022-03-14,,regular,17.0,False
8115,2022-02-18,2022-03-08,fast,18.0,True
8982,2022-02-18,2022-03-01,fast,11.0,True
1765,2022-01-24,2022-02-24,regular,31.0,True
5720,2022-02-14,2022-02-25,regular,11.0,True
9465,2022-02-24,,chunk,35.0,False
2739,2022-01-21,2022-02-19,regular,29.0,True
4764,2022-02-11,,regular,48.0,False
1353,2022-03-04,,regular,27.0,False
3465,2022-01-12,,regular,78.0,False
9980,2022-02-26,,chunk,33.0,False
7763,2022-01-23,2022-02-10,fast,18.0,True
6360,2022-02-13,2022-03-23,regular,38.0,True
